id;data;qtd
752;2016-06-21;14369530
753;2016-06-22;13614992
754;2016-06-23;12888908
755;2016-06-24;12851993
756;2016-06-25;3035321
757;2016-06-26;1791644
758;2016-06-27;16820107
759;2016-06-28;13846484
760;2016-06-29;13239733
761;2016-06-30;15646677
762;2016-07-01;16338725
763;2016-07-02;3520475
764;2016-07-03;2038636
765;2016-07-04;19026227
766;2016-07-05;17769158
767;2016-07-06;17896932
768;2016-07-07;17872092
769;2016-07-08;16610467
770;2016-07-09;3941910
771;2016-07-10;2812598
772;2016-07-11;21856748
773;2016-07-12;15866100
774;2016-07-13;14755092
775;2016-07-14;14118219
776;2016-07-15;16872906
777;2016-07-16;3293675
778;2016-07-17;1831151
779;2016-07-18;17259939
780;2016-07-19;15074418
781;2016-07-20;18688900
782;2016-07-21;14674519
783;2016-07-22;13863078
784;2016-07-23;3220246
785;2016-07-24;1864352
786;2016-07-25;16797517
787;2016-07-26;13866112
788;2016-07-27;13848995
789;2016-07-28;13722199
790;2016-07-29;15636978
791;2016-07-30;3609331
792;2016-07-31;2099670
793;2016-08-01;19652696
794;2016-08-02;16151350
795;2016-08-03;15716350
796;2016-08-04;16683805
797;2016-08-05;19856574
798;2016-08-06;3952218
799;2016-08-07;2266294
800;2016-08-08;20210048
801;2016-08-09;16541474
802;2016-08-10;18734938
803;2016-08-11;15503335
804;2016-08-12;15736904
805;2016-08-13;3526701
806;2016-08-14;1873519
807;2016-08-15;17981904
808;2016-08-16;16217787
809;2016-08-17;14982463
810;2016-08-18;14569115
811;2016-08-19;15983816
812;2016-08-20;3430611
813;2016-08-21;1942381
814;2016-08-22;19288191
815;2016-08-23;15292131
816;2016-08-24;14250055
817;2016-08-25;14704243
818;2016-08-26;14497725
819;2016-08-27;3300747
820;2016-08-28;1939564
821;2016-08-29;17208705
822;2016-08-30;15548620
823;2016-08-31;15770681
824;2016-09-01;16758643
825;2016-09-02;16786554
826;2016-09-03;3794397
827;2016-09-04;2261471
828;2016-09-05;22017212
829;2016-09-06;20505264
830;2016-09-07;3662762
831;2016-09-08;19492224
832;2016-09-09;18512486
833;2016-09-10;3891109
834;2016-09-11;2286221
835;2016-09-12;23865500
836;2016-09-13;17493919
837;2016-09-14;16466591
838;2016-09-15;18069842
839;2016-09-16;16592915
840;2016-09-17;3579237
841;2016-09-18;2071910
842;2016-09-19;20023307
843;2016-09-20;19746109
844;2016-09-21;16148515
845;2016-09-22;15304186
846;2016-09-23;15562560
847;2016-09-24;3437177
848;2016-09-25;2048886
849;2016-09-26;19284619
850;2016-09-27;15906079
851;2016-09-28;15549183
852;2016-09-29;15181643
853;2016-09-30;12800168
854;2016-10-01;4340000
855;2016-10-02;1734624
856;2016-10-03;22073034
857;2016-10-04;18656234
858;2016-10-05;20341725
859;2016-10-06;19757968
860;2016-10-07;20868566
861;2016-10-08;4228569
862;2016-10-09;2240170
863;2016-10-10;26208603
864;2016-10-11;19659257
865;2016-10-12;3211534
866;2016-10-13;18827213
867;2016-10-14;17717097
868;2016-10-15;3903030
869;2016-10-16;2274246
870;2016-10-17;22044379
871;2016-10-18;17198160
872;2016-10-19;16569718
873;2016-10-20;18986464
874;2016-10-21;16324733
875;2016-10-22;3715230
876;2016-10-23;2134654
877;2016-10-24;18714070
