id;data;qtd
499;2017-05-13;2284740
500;2017-05-14;1225934
501;2017-05-15;11418918
502;2017-05-16;8902816
503;2017-05-17;8446273
504;2017-05-18;8048208
505;2017-05-19;8882485
506;2017-05-20;2295994
507;2017-05-21;1285384
508;2017-05-22;10437889
509;2017-05-23;8423719
510;2017-05-24;7806675
511;2017-05-25;8273289
512;2017-05-26;7981293
513;2017-05-27;2074497
514;2017-05-28;1203092
515;2017-05-29;9281637
516;2017-05-30;8598316
517;2017-05-31;8902166
518;2017-06-01;9255977
519;2017-06-02;9422471
520;2017-06-03;2408955
521;2017-06-04;1469757
522;2017-06-05;9054276
523;2017-06-06;11030501
524;2017-06-07;10746010
525;2017-06-08;9083871
526;2017-06-09;9277700
527;2017-06-10;2502047
528;2017-06-11;1446207
529;2017-06-12;11866316
530;2017-06-13;8985666
531;2017-06-14;10128798
532;2017-06-15;2381147
533;2017-06-16;9885427
534;2017-06-17;2483990
535;2017-06-18;1561655
536;2017-06-19;11713379
537;2017-06-20;11589323
538;2017-06-21;9414232
539;2017-06-22;8800971
540;2017-06-23;8739487
541;2017-06-24;2040735
542;2017-06-25;1205713
543;2017-06-26;9741483
544;2017-06-27;8225002
545;2017-06-28;8148044
546;2017-06-29;7812411
547;2017-06-30;9591792
548;2017-07-01;2644774
549;2017-07-02;1456506
550;2017-07-03;11574194
551;2017-07-04;9787863
552;2017-07-05;10365406
553;2017-07-06;10197206
554;2017-07-07;10650912
555;2017-07-08;2527239
556;2017-07-09;1495262
557;2017-07-10;12675018
558;2017-07-11;9656092
559;2017-07-12;8717427
560;2017-07-13;8101309
561;2017-07-14;8608546
562;2017-07-15;2098882
563;2017-07-16;1197574
564;2017-07-17;10074335
565;2017-07-18;7969416
566;2017-07-19;7841867
567;2017-07-20;9103256
568;2017-07-21;7754031
569;2017-07-22;2005781
570;2017-07-23;1161938
571;2017-07-24;9291788
572;2017-07-25;8143709
573;2017-07-26;7392098
574;2017-07-27;7327964
575;2017-07-28;7798826
576;2017-07-29;2110854
577;2017-07-30;1203973
578;2017-07-31;10101575
579;2017-08-01;9665827
580;2017-08-02;8826741
581;2017-08-03;8867278
582;2017-08-04;9890278
583;2017-08-05;2589575
584;2017-08-06;1450024
585;2017-08-07;11200971
586;2017-08-08;9414466
587;2017-08-09;8769517
588;2017-08-10;9802914
589;2017-08-11;8835101
590;2017-08-12;2216939
591;2017-08-13;1172317
592;2017-08-14;9936179
593;2017-08-15;8530835
594;2017-08-16;8459285
595;2017-08-17;7988173
596;2017-08-18;8600047
597;2017-08-19;2167696
598;2017-08-20;1265808
599;2017-08-21;10417005
600;2017-08-22;8206390
601;2017-08-23;7668037
602;2017-08-24;7360854
603;2017-08-25;7982997
604;2017-08-26;2017879
605;2017-08-27;1163936
606;2017-08-28;9129861
607;2017-08-29;7871605
608;2017-08-30;8170380
609;2017-08-31;8609005
610;2017-09-01;9571995
611;2017-09-02;2411988
612;2017-09-03;1421248
613;2017-09-04;11056159
614;2017-09-05;10577393
615;2017-09-06;10809587
616;2017-09-07;2179699
617;2017-09-08;9575169
618;2017-09-09;2403172
619;2017-09-10;1537092
620;2017-09-11;10766326
621;2017-09-12;9841893
622;2017-09-13;8823669
623;2017-09-14;8402908
624;2017-09-15;9424851
625;2017-09-16;2208105
626;2017-09-17;1284190
627;2017-09-18;10146905
628;2017-09-19;8813273
629;2017-09-20;9982276
630;2017-09-21;8143749
631;2017-09-22;8085017
632;2017-09-23;2091153
633;2017-09-24;1225192
634;2017-09-25;9880651
635;2017-09-26;8223591
636;2017-09-27;7849994
637;2017-09-28;7952183
638;2017-09-29;9123848
639;2017-09-30;2349581
640;2017-10-01;1509973
641;2017-10-02;11538686
642;2017-10-03;10029297
643;2017-10-04;8970244
644;2017-10-05;10144620
645;2017-10-06;11403806
646;2017-10-07;2744998
647;2017-10-08;1531156
648;2017-10-09;11673808
649;2017-10-10;11169810
650;2017-10-11;9917713
651;2017-10-12;1899492
652;2017-10-13;8557583
653;2017-10-14;2237318
654;2017-10-15;1385239
655;2017-10-16;11479308
656;2017-10-17;9216783
657;2017-10-18;8621913
658;2017-10-19;8432610
659;2017-10-20;10249146
660;2017-10-21;2306241
661;2017-10-22;1324917
662;2017-10-23;9921817
663;2017-10-24;8343097
664;2017-10-25;8680446
665;2017-10-26;7892461
666;2017-10-27;8324907
667;2017-10-28;2207142
668;2017-10-29;1321161
669;2017-10-30;10338261
670;2017-10-31;9800370
671;2017-11-01;8107572
672;2017-11-02;1430463
673;2017-11-03;7941357
674;2017-11-04;1928497
675;2017-11-05;1079633
676;2017-11-06;10240949
677;2017-11-07;9730195
678;2017-11-08;10787608
679;2017-11-09;9668212
680;2017-11-10;9057271
681;2017-11-11;2705415
682;2017-11-12;1379410
683;2017-11-13;10897594
684;2017-11-14;9569054
685;2017-11-15;2090666
686;2017-11-16;10800310
687;2017-11-17;9761021
688;2017-11-18;2617550
689;2017-11-19;1496329
690;2017-11-20;11770169
691;2017-11-21;10117238
692;2017-11-22;9059566
693;2017-11-23;8545384
694;2017-11-24;8980437
695;2017-11-25;2471504
696;2017-11-26;1420463
697;2017-11-27;9360998
698;2017-11-28;9838658
699;2017-11-29;9125017
700;2017-11-30;11092322
701;2017-12-01;11162731
702;2017-12-02;2960465
703;2017-12-03;1876378
704;2017-12-04;12954057
705;2017-12-05;11630686
706;2017-12-06;11804838
707;2017-12-07;12482763
708;2017-12-08;9413372
709;2017-12-09;2951792
710;2017-12-10;1778613
711;2017-12-11;13921253
712;2017-12-12;11331098
713;2017-12-13;10380903
714;2017-12-14;10126375
715;2017-12-15;11794591
716;2017-12-16;2995663
717;2017-12-17;1768431
718;2017-12-18;12311567
719;2017-12-19;11318437
720;2017-12-20;14003145
721;2017-12-21;11194304
722;2017-12-22;11136529
723;2017-12-23;3136174
724;2017-12-24;1528901
725;2017-12-25;1373390
726;2017-12-26;11250357
727;2017-12-27;9839080
728;2017-12-28;10829743
729;2017-12-29;5985257
730;2017-12-30;2644939
731;2017-12-31;1346635
732;2018-01-01;1556005
733;2018-01-02;12446636
734;2018-01-03;10907459
735;2018-01-04;9893671
736;2018-01-05;12641159
737;2018-01-06;3450104
738;2018-01-07;2022662
739;2018-01-08;14196163
740;2018-01-09;12327608
741;2018-01-10;13425064
742;2018-01-11;11536861
743;2018-01-12;10922666
744;2018-01-13;2985146
745;2018-01-14;1783973
746;2018-01-15;13753307
747;2018-01-16;11100201
748;2018-01-17;10261791
749;2018-01-18;9907071
750;2018-01-19;10982070
751;2018-01-20;2920633
752;2018-01-21;1784714
753;2018-01-22;12528492
754;2018-01-23;10320791
755;2018-01-24;9487811
756;2018-01-25;9895671
757;2018-01-26;9597900
758;2018-01-27;2728978
759;2018-01-28;1655424
760;2018-01-29;11156486
761;2018-01-30;10553459
762;2018-01-31;11138102
763;2018-02-01;11577384
764;2018-02-02;11247998
765;2018-02-03;2942311
766;2018-02-04;191971
767;2018-02-05;13216023
768;2018-02-06;12165197
769;2018-02-07;12053562
770;2018-02-08;10674498
771;2018-02-09;11281627
772;2018-02-10;2804511
773;2018-02-11;1328178
774;2018-02-12;3155144
775;2018-02-13;2053110
776;2018-02-14;12456931
777;2018-02-15;12520776
778;2018-02-16;10869531
779;2018-02-17;2860815
780;2018-02-18;1673376
781;2018-02-19;12176596
782;2018-02-20;12202950
783;2018-02-21;9898130
784;2018-02-22;9455271
785;2018-02-23;9584897
786;2018-02-24;2574318
787;2018-02-25;1578501
788;2018-02-26;11377905
789;2018-02-27;9976116
790;2018-02-28;11332752
791;2018-03-01;11587287
792;2018-03-02;11294472
793;2018-03-03;3216554
794;2018-03-04;1861603
795;2018-03-05;14178722
796;2018-03-06;12858246
797;2018-03-07;12520494
798;2018-03-08;10590909
799;2018-03-09;10961045
800;2018-03-10;2334751
801;2018-03-11;1038665
802;2018-03-12;13053789
803;2018-03-13;10729529
804;2018-03-14;10137092
805;2018-03-15;11051381
806;2018-03-16;10101090
807;2018-03-17;2747501
808;2018-03-18;1535277
809;2018-03-19;9945418
810;2018-03-20;10468099
811;2018-03-21;8505598
812;2018-03-22;7945478
813;2018-03-23;8012246
814;2018-03-24;2656607
815;2018-03-25;1655868
816;2018-03-26;11512998
817;2018-03-27;9960302
818;2018-03-28;10342479
819;2018-03-29;10296548
820;2018-03-30;2029444
821;2018-03-31;2398189
822;2018-04-01;1680411
823;2018-04-02;14170440
824;2018-04-03;11961583
825;2018-04-04;11172054
826;2018-04-05;12089675
827;2018-04-06;13580517
828;2018-04-07;3415268
829;2018-04-08;1927126
830;2018-04-09;13742105
831;2018-04-10;13529133
832;2018-04-11;11442021
833;2018-04-12;10468484
834;2018-04-13;10348294
835;2018-04-14;2834231
836;2018-04-15;942804
837;2018-04-16;6098172
838;2018-04-17;9337629
839;2018-04-18;8750568
840;2018-04-19;8744740
841;2018-04-20;10640156
842;2018-04-21;2111416
843;2018-04-22;1539255
844;2018-04-23;10726911
845;2018-04-24;9445967
846;2018-04-25;10306722
847;2018-04-26;9687238
848;2018-04-27;10541225
849;2018-04-28;2912888
850;2018-04-29;1671977
851;2018-04-30;11827454
852;2018-05-01;2930286
853;2018-05-02;11740729
854;2018-05-03;12053093
855;2018-05-04;12484609
856;2018-05-05;3547807
857;2018-05-06;1426185
858;2018-05-07;14955341
859;2018-05-08;12741603
860;2018-05-09;11245589
861;2018-05-10;11535736
862;2018-05-11;11283218
863;2018-05-12;3142041
864;2018-05-13;1666340
865;2018-05-14;12541712
866;2018-05-15;12374779
867;2018-05-16;10765262
868;2018-05-17;10184765
869;2018-05-18;10970334
870;2018-05-19;2801797
